"date","open","high","close","volume"
2010-12-27,301.672000,302.192000,301.491000,2413700.000000
2010-12-28,301.326000,302.237000,299.760000,2127400.000000
2010-12-29,301.301000,301.507000,300.801000,2036300.000000
2010-12-30,299.299000,300.966000,299.730000,1977000.000000
2010-12-31,298.669000,299.510000,297.282000,3075500.000000
2011-01-03,298.539000,303.098000,302.477000,4725600.000000
2011-01-04,303.113000,303.393000,301.361000,3645300.000000
2011-01-05,300.335000,305.470000,304.840000,5059500.000000
2011-01-06,305.646000,309.525000,307.057000,4111400.000000
2011-01-07,308.263000,309.434000,308.529000,4198100.000000
2011-01-10,307.708000,308.003000,307.412000,3155200.000000
2011-01-11,309.164000,309.710000,308.313000,2875700.000000
2011-01-12,309.985000,309.985000,308.744000,3262100.000000
2011-01-13,308.794000,310.145000,308.654000,2665300.000000
2011-01-14,309.009000,312.447000,312.402000,4726400.000000
2011-01-18,313.343000,321.316000,320.135000,7226700.000000
2011-01-19,321.381000,321.802000,316.191000,6805300.000000
2011-01-20,316.421000,317.357000,313.699000,10960600.000000
2011-01-21,320.110000,321.186000,306.221000,17790900.000000
2011-01-24,304.089000,306.552000,305.846000,9189200.000000
2011-01-25,304.404000,310.656000,310.265000,7286300.000000
2011-01-26,310.475000,311.557000,308.559000,4072100.000000
2011-01-27,309.254000,310.160000,308.704000,4034300.000000
2011-01-28,309.845000,310.490000,300.796000,8453700.000000
2011-01-31,302.102000,302.538000,300.480000,5604100.000000
2011-02-01,302.548000,306.982000,305.826000,5485100.000000
2011-02-02,305.806000,307.477000,306.306000,3517800.000000
2011-02-03,305.045000,306.031000,305.380000,2987200.000000
2011-02-04,305.380000,306.026000,305.796000,3098400.000000
2011-02-07,305.385000,309.505000,307.452000,3595600.000000
2011-02-08,307.773000,310.125000,309.500000,3386400.000000
2011-02-09,308.744000,310.035000,308.559000,3681300.000000
2011-02-10,307.257000,309.059000,308.529000,4664100.000000
2011-02-11,307.202000,312.813000,312.563000,5174600.000000
2011-02-14,311.982000,315.135000,314.389000,4251700.000000
2011-02-15,313.974000,315.360000,312.387000,4179800.000000
2011-02-16,313.128000,313.564000,312.422000,3364600.000000
2011-02-17,310.936000,313.939000,312.943000,2954600.000000
2011-02-18,313.313000,315.906000,315.355000,6429300.000000
2011-02-22,310.325000,312.778000,305.410000,7272500.000000
